Finalist;Finalist Country;Match Played;Stadium;Team with year;Winner;Winner (Team);Winner Country;Year;Attendance;Capacity;F1;Finalist Score;Match Goals;People Attendent Match In Excess;Winner Score
Stade de Reims; France;Real Madrid vs Stade de Reims;Stade Velodrome Paris;Real Madrid : 1956;Real Madrid;Real Madrid; Spain;1956;38239;38239;0;3;7;0;4
Fiorentina; Italy;Real Madrid vs Fiorentina;Estadio Santiago Bernabeu;Real Madrid : 1957;Real Madrid;Real Madrid; Spain;1957;124000;81044;1;0;2;42956;2
Milan; Italy;Real Madrid vs Milan;Heysel Stadium;Real Madrid : 1958;Real Madrid;Real Madrid; Spain;1958;67000;67000;2;2;5;0;3
Stade de Reims; France;Real Madrid vs Stade de Reims;Neckarstadion;Real Madrid : 1959;Real Madrid;Real Madrid; Spain;1959;72000;72000;3;0;2;0;2
Eintracht Frankfurt; West Germany;Real Madrid vs Eintracht Frankfurt;Hampden Park;Real Madrid : 1960;Real Madrid;Real Madrid; Spain;1960;127621;52000;4;3;10;75621;7
Barcelona; Spain;Benfica vs Barcelona;Wankdorfstadion;Benfica : 1961;Benfica;Other; Portugal;1961;26732;26732;5;2;5;0;3
Real Madrid; Spain;Benfica vs Real Madrid;Olympisch Stadion;Benfica : 1962;Benfica;Other; Portugal;1962;61257;61257;6;3;8;0;5
Benfica; Portugal;Milan vs Benfica;Wembley Stadium;Milan : 1963;Milan;Other; Italy;1963;45715;90000;7;1;3;-44285;2
Real Madrid; Spain;Internazionale vs Real Madrid;Prater Stadion;Internazionale : 1964;Internazionale;Other; Italy;1964;71333;71333;8;1;4;0;3
Benfica; Portugal;Internazionale vs Benfica;San Siro;Internazionale : 1965;Internazionale;Other; Italy;1965;89000;80018;9;0;1;8982;1
Partizan; Yugoslavia;Real Madrid vs Partizan;Heysel Stadium;Real Madrid : 1966;Real Madrid;Real Madrid; Spain;1966;46745;46745;10;1;3;0;2
Internazionale; Italy;Celtic vs Internazionale;Estadio Nacional;Celtic : 1967;Celtic;Other; Scotland;1967;45000;45000;11;1;3;0;2
Benfica; Portugal;Manchester United vs Benfica;Wembley Stadium;Manchester United : 1968;Manchester United;Other; England;1968;92225;90000;12;1;5;2225;4
Ajax; Netherlands;Milan vs Ajax;Estadio Santiago Bernabeu;Milan : 1969;Milan;Other; Italy;1969;31782;81044;13;1;4;-49262;3
Celtic; Scotland;Feyenoord vs Celtic;San Siro;Feyenoord : 1970;Feyenoord;Other; Netherlands;1970;53187;80018;14;1;3;-26831;2
Panathinaikos; Greece;Ajax vs Panathinaikos;Wembley Stadium;Ajax : 1971;Ajax;Other; Netherlands;1971;83179;90000;15;0;2;-6821;2
Internazionale; Italy;Ajax vs Internazionale;De Kuip;Ajax : 1972;Ajax;Other; Netherlands;1972;61354;51177;16;0;2;10177;2
Juventus; Italy;Ajax vs Juventus;Stadion Crvena Zvezda;Ajax : 1973;Ajax;Other; Netherlands;1973;89484;89484;17;0;1;0;1
Atlético Madrid; Spain;Bayern Munich vs Atlético Madrid;Heysel Stadium;Bayern Munich : 1974;Bayern Munich;Other; West Germany;1974;72047;72047;18;0;4;0;4
Leeds United; England;Bayern Munich vs Leeds United;Parc des Princes;Bayern Munich : 1975;Bayern Munich;Other; West Germany;1975;48374;48527;19;0;2;-153;2
Saint-Étienne; France;Bayern Munich vs Saint-Étienne;Hampden Park;Bayern Munich : 1976;Bayern Munich;Other; West Germany;1976;54864;52000;20;0;1;2864;1
Borussia Mönchengladbach; West Germany;Liverpool vs Borussia Mönchengladbach;Stadio Olimpico;Liverpool : 1977;Liverpool;Other; England;1977;52078;72698;21;1;4;-20620;3
Club Brugge; Belgium;Liverpool vs Club Brugge;Wembley Stadium;Liverpool : 1978;Liverpool;Other; England;1978;92500;90000;22;0;1;2500;1
Malmö FF; Sweden;Nottingham Forest vs Malmö FF;Olympiastadion Munich;Nottingham Forest : 1979;Nottingham Forest;Other; England;1979;57500;57500;23;0;1;0;1
Hamburg; West Germany;Nottingham Forest vs Hamburg;Estadio Santiago Bernabeu;Nottingham Forest : 1980;Nottingham Forest;Other; England;1980;51000;81044;24;0;1;-30044;1
Real Madrid; Spain;Liverpool vs Real Madrid;Parc des Princes;Liverpool : 1981;Liverpool;Other; England;1981;48360;48527;25;0;1;-167;1
Bayern Munich; West Germany;Aston Villa vs Bayern Munich;De Kuip;Aston Villa : 1982;Aston Villa;Other; England;1982;46000;51177;26;0;1;-5177;1
Juventus; Italy;Hamburg vs Juventus;OAKA Stadium;Hamburg : 1983;Hamburg;Other; West Germany;1983;73500;69918;27;0;1;3582;1
Roma; Italy;Liverpool vs Roma;Stadio Olimpico;Liverpool : 1984;Liverpool;Other; England;1984;69693;72698;28;1;2;-3005;1
Liverpool; England;Juventus vs Liverpool;Heysel Stadium;Juventus : 1985;Juventus;Other; Italy;1985;58000;58000;29;0;1;0;1
Barcelona; Spain;Steaua Bucure?ti vs Barcelona;Estadio Ramon Sanchez Pizjuan;Steaua Bucure?ti : 1986;Steaua Bucure?ti;Other; Romania;1986;70000;70000;30;0;0;0;0
Bayern Munich; West Germany;Porto vs Bayern Munich;Prater Stadion;Porto : 1987;Porto;Other; Portugal;1987;57500;57500;31;1;3;0;2
Benfica; Portugal;PSV Eindhoven vs Benfica;Neckarstadion;PSV Eindhoven : 1988;PSV Eindhoven;Other; Netherlands;1988;68000;68000;32;0;0;0;0
